Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
2023-04-10,Matthew 11,Leviticus 10,1 Corinthians 6,2 Peter 3,Job 38,Psalms 100,Proverbs 7,2 Samuel 20,Jeremiah 34,Acts 16
2023-04-11,Matthew 12,Leviticus 11,1 Corinthians 7,1 John 1,Job 39,Psalms 101,Proverbs 8,2 Samuel 21,Jeremiah 35,Acts 17
2023-04-12,Matthew 13,Leviticus 12,1 Corinthians 8,1 John 2,Job 40,Psalms 102,Proverbs 9,2 Samuel 22,Jeremiah 36,Acts 18
2023-04-13,Matthew 14,Leviticus 13,1 Corinthians 9,1 John 3,Job 41,Psalms 103,Proverbs 10,2 Samuel 23,Jeremiah 37,Acts 19
2023-04-14,Matthew 15,Leviticus 14,1 Corinthians 10,1 John 4,Job 42,Psalms 104,Proverbs 11,2 Samuel 24,Jeremiah 38,Acts 20
2023-04-15,Matthew 16,Leviticus 15,1 Corinthians 11,1 John 5,Ecclesiastes 1,Psalms 105,Proverbs 12,1 Kings 1,Jeremiah 39,Acts 21
2023-04-16,Matthew 17,Leviticus 16,1 Corinthians 12,2 John 1,Ecclesiastes 2,Psalms 106,Proverbs 13,1 Kings 2,Jeremiah 40,Acts 22
2023-04-17,Matthew 18,Leviticus 17,1 Corinthians 13,3 John 1,Ecclesiastes 3,Psalms 107,Proverbs 14,1 Kings 3,Jeremiah 41,Acts 23
2023-04-18,Matthew 19,Leviticus 18,1 Corinthians 14,Jude 1,Ecclesiastes 4,Psalms 108,Proverbs 15,1 Kings 4,Jeremiah 42,Acts 24
2023-04-19,Matthew 20,Leviticus 19,1 Corinthians 15,Revelation 1,Ecclesiastes 5,Psalms 109,Proverbs 16,1 Kings 5,Jeremiah 43,Acts 25
2023-04-20,Matthew 21,Leviticus 20,1 Corinthians 16,Revelation 2,Ecclesiastes 6,Psalms 110,Proverbs 17,1 Kings 6,Jeremiah 44,Acts 26
2023-04-21,Matthew 22,Leviticus 21,2 Corinthians 1,Revelation 3,Ecclesiastes 7,Psalms 111,Proverbs 18,1 Kings 7,Jeremiah 45,Acts 27
2023-04-22,Matthew 23,Leviticus 22,2 Corinthians 2,Revelation 4,Ecclesiastes 8,Psalms 112,Proverbs 19,1 Kings 8,Jeremiah 46,Acts 28
2023-04-23,Matthew 24,Leviticus 23,2 Corinthians 3,Revelation 5,Ecclesiastes 9,Psalms 113,Proverbs 20,1 Kings 9,Jeremiah 47,Acts 1
2023-04-24,Matthew 25,Leviticus 24,2 Corinthians 4,Revelation 6,Ecclesiastes 10,Psalms 114,Proverbs 21,1 Kings 10,Jeremiah 48,Acts 2
2023-04-25,Matthew 26,Leviticus 25,2 Corinthians 5,Revelation 7,Ecclesiastes 11,Psalms 115,Proverbs 22,1 Kings 11,Jeremiah 49,Acts 3
2023-04-26,Matthew 27,Leviticus 26,2 Corinthians 6,Revelation 8,Ecclesiastes 12,Psalms 116,Proverbs 23,1 Kings 12,Jeremiah 50,Acts 4
2023-04-27,Matthew 28,Leviticus 27,2 Corinthians 7,Revelation 9,Song of Songs 1,Psalms 117,Proverbs 24,1 Kings 13,Jeremiah 51,Acts 5
2023-04-28,Mark 1,Numbers 1,2 Corinthians 8,Revelation 10,Song of Songs 2,Psalms 118,Proverbs 25,1 Kings 14,Jeremiah 52,Acts 6
2023-04-29,Mark 2,Numbers 2,2 Corinthians 9,Revelation 11,Song of Songs 3,Psalms 119,Proverbs 26,1 Kings 15,Lamentations 1,Acts 7
2023-04-30,Mark 3,Numbers 3,2 Corinthians 10,Revelation 12,Song of Songs 4,Psalms 120,Proverbs 27,1 Kings 16,Lamentations 2,Acts 8
2023-05-01,Mark 4,Numbers 4,2 Corinthians 11,Revelation 13,Song of Songs 5,Psalms 121,Proverbs 28,1 Kings 17,Lamentations 3,Acts 9
2023-05-02,Mark 5,Numbers 5,2 Corinthians 12,Revelation 14,Song of Songs 6,Psalms 122,Proverbs 29,1 Kings 18,Lamentations 4,Acts 10
2023-05-03,Mark 6,Numbers 6,2 Corinthians 13,Revelation 15,Song of Songs 7,Psalms 123,Proverbs 30,1 Kings 19,Lamentations 5,Acts 11
2023-05-04,Mark 7,Numbers 7,Galatians 1,Revelation 16,Song of Songs 8,Psalms 124,Proverbs 31,1 Kings 20,Ezekiel 1,Acts 12
2023-05-05,Mark 8,Numbers 8,Galatians 2,Revelation 17,Job 1,Psalms 125,Proverbs 1,1 Kings 21,Ezekiel 2,Acts 13
2023-05-06,Mark 9,Numbers 9,Galatians 3,Revelation 18,Job 2,Psalms 126,Proverbs 2,1 Kings 22,Ezekiel 3,Acts 14
2023-05-07,Mark 10,Numbers 10,Galatians 4,Revelation 19,Job 3,Psalms 127,Proverbs 3,2 Kings 1,Ezekiel 4,Acts 15
2023-05-08,Mark 11,Numbers 11,Galatians 5,Revelation 20,Job 4,Psalms 128,Proverbs 4,2 Kings 2,Ezekiel 5,Acts 16
2023-05-09,Mark 12,Numbers 12,Galatians 6,Revelation 21,Job 5,Psalms 129,Proverbs 5,2 Kings 3,Ezekiel 6,Acts 17
2023-05-10,Mark 13,Numbers 13,Ephesians 1,Revelation 22,Job 6,Psalms 130,Proverbs 6,2 Kings 4,Ezekiel 7,Acts 18
2023-05-11,Mark 14,Numbers 14,Ephesians 2,1 Thessalonians 1,Job 7,Psalms 131,Proverbs 7,2 Kings 5,Ezekiel 8,Acts 19
2023-05-12,Mark 15,Numbers 15,Ephesians 3,1 Thessalonians 2,Job 8,Psalms 132,Proverbs 8,2 Kings 6,Ezekiel 9,Acts 20
2023-05-13,Mark 16,Numbers 16,Ephesians 4,1 Thessalonians 3,Job 9,Psalms 133,Proverbs 9,2 Kings 7,Ezekiel 10,Acts 21
2023-05-14,Luke 1,Numbers 17,Ephesians 5,1 Thessalonians 4,Job 10,Psalms 134,Proverbs 10,2 Kings 8,Ezekiel 11,Acts 22
2023-05-15,Luke 2,Numbers 18,Ephesians 6,1 Thessalonians 5,Job 11,Psalms 135,Proverbs 11,2 Kings 9,Ezekiel 12,Acts 23
2023-05-16,Luke 3,Numbers 19,Philippians 1,2 Thessalonians 1,Job 12,Psalms 136,Proverbs 12,2 Kings 10,Ezekiel 13,Acts 24
2023-05-17,Luke 4,Numbers 20,Philippians 2,2 Thessalonians 2,Job 13,Psalms 137,Proverbs 13,2 Kings 11,Ezekiel 14,Acts 25
2023-05-18,Luke 5,Numbers 21,Philippians 3,2 Thessalonians 3,Job 14,Psalms 138,Proverbs 14,2 Kings 12,Ezekiel 15,Acts 26
2023-05-19,Luke 6,Numbers 22,Philippians 4,1 Timothy 1,Job 15,Psalms 139,Proverbs 15,2 Kings 13,Ezekiel 16,Acts 27
2023-05-20,Luke 7,Numbers 23,Colossians 1,1 Timothy 2,Job 16,Psalms 140,Proverbs 16,2 Kings 14,Ezekiel 17,Acts 28
2023-05-21,Luke 8,Numbers 24,Colossians 2,1 Timothy 3,Job 17,Psalms 141,Proverbs 17,2 Kings 15,Ezekiel 18,Acts 1
2023-05-22,Luke 9,Numbers 25,Colossians 3,1 Timothy 4,Job 18,Psalms 142,Proverbs 18,2 Kings 16,Ezekiel 19,Acts 2
2023-05-23,Luke 10,Numbers 26,Colossians 4,1 Timothy 5,Job 19,Psalms 143,Proverbs 19,2 Kings 17,Ezekiel 20,Acts 3
2023-05-24,Luke 11,Numbers 27,Hebrews 1,1 Timothy 6,Job 20,Psalms 144,Proverbs 20,2 Kings 18,Ezekiel 21,Acts 4
2023-05-25,Luke 12,Numbers 28,Hebrews 2,2 Timothy 1,Job 21,Psalms 145,Proverbs 21,2 Kings 19,Ezekiel 22,Acts 5
2023-05-26,Luke 13,Numbers 29,Hebrews 3,2 Timothy 2,Job 22,Psalms 146,Proverbs 22,2 Kings 20,Ezekiel 23,Acts 6
2023-05-27,Luke 14,Numbers 30,Hebrews 4,2 Timothy 3,Job 23,Psalms 147,Proverbs 23,2 Kings 21,Ezekiel 24,Acts 7
2023-05-28,Luke 15,Numbers 31,Hebrews 5,2 Timothy 4,Job 24,Psalms 148,Proverbs 24,2 Kings 22,Ezekiel 25,Acts 8
2023-05-29,Luke 16,Numbers 32,Hebrews 6,Titus 1,Job 25,Psalms 149,Proverbs 25,2 Kings 23,Ezekiel 26,Acts 9
2023-05-30,Luke 17,Numbers 33,Hebrews 7,Titus 2,Job 26,Psalms 150,Proverbs 26,2 Kings 24,Ezekiel 27,Acts 10
2023-05-31,Luke 18,Numbers 34,Hebrews 8,Titus 3,Job 27,Psalms 1,Proverbs 27,2 Kings 25,Ezekiel 28,Acts 11
2023-06-01,Luke 19,Numbers 35,Hebrews 9,Philemon 1,Job 28,Psalms 2,Proverbs 28,1 Chronicles 1,Ezekiel 29,Acts 12
2023-06-02,Luke 20,Numbers 36,Hebrews 10,James 1,Job 29,Psalms 3,Proverbs 29,1 Chronicles 2,Ezekiel 30,Acts 13
