Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
Tue 4/11,Matt 12,Lev 11,1Cor 7,1John 1,Job 39,Psalm 101,Prov 8,2Sam 21,Jer 35,Acts 17
Wed 4/12,Matt 13,Lev 12,1Cor 8,1John 2,Job 40,Psalm 102,Prov 9,2Sam 22,Jer 36,Acts 18
Thu 4/13,Matt 14,Lev 13,1Cor 9,1John 3,Job 41,Psalm 103,Prov 10,2Sam 23,Jer 37,Acts 19
Fri 4/14,Matt 15,Lev 14,1Cor 10,1John 4,Job 42,Psalm 104,Prov 11,2Sam 24,Jer 38,Acts 20
Sat 4/15,Matt 16,Lev 15,1Cor 11,1John 5,Eccles 1,Psalm 105,Prov 12,1Kings 1,Jer 39,Acts 21
L.D. 4/16,Matt 17,Lev 16,1Cor 12,2John,Eccles 2,Psalm 106,Prov 13,1Kings 2,Jer 40,Acts 22
Mon 4/17,Matt 18,Lev 17,1Cor 13,3John,Eccles 3,Psalm 107,Prov 14,1Kings 3,Jer 41,Acts 23
Tue 4/18,Matt 19,Lev 18,1Cor 14,Jude,Eccles 4,Psalm 108,Prov 15,1Kings 4,Jer 42,Acts 24
Wed 4/19,Matt 20,Lev 19,1Cor 15,Rev 1,Eccles 5,Psalm 109,Prov 16,1Kings 5,Jer 43,Acts 25
Thu 4/20,Matt 21,Lev 20,1Cor 16,Rev 2,Eccles 6,Psalm 110,Prov 17,1Kings 6,Jer 44,Acts 26
Fri 4/21,Matt 22,Lev 21,2Cor 1,Rev 3,Eccles 7,Psalm 111,Prov 18,1Kings 7,Jer 45,Acts 27
Sat 4/22,Matt 23,Lev 22,2Cor 2,Rev 4,Eccles 8,Psalm 112,Prov 19,1Kings 8,Jer 46,Acts 28
L.D. 4/23,Matt 24,Lev 23,2Cor 3,Rev 5,Eccles 9,Psalm 113,Prov 20,1Kings 9,Jer 47,Acts 1
Mon 4/24,Matt 25,Lev 24,2Cor 4,Rev 6,Eccles 10,Psalm 114,Prov 21,1Kings 10,Jer 48,Acts 2
Tue 4/25,Matt 26,Lev 25,2Cor 5,Rev 7,Eccles 11,Psalm 115,Prov 22,1Kings 11,Jer 49,Acts 3
Wed 4/26,Matt 27,Lev 26,2Cor 6,Rev 8,Eccles 12,Psalm 116,Prov 23,1Kings 12,Jer 50,Acts 4
Thu 4/27,Matt 28,Lev 27,2Cor 7,Rev 9,Song 1,Psalm 117,Prov 24,1Kings 13,Jer 51,Acts 5
Fri 4/28,Mark 1,Num 1,2Cor 8,Rev 10,Song 2,Psalm 118,Prov 25,1Kings 14,Jer 52,Acts 6
Sat 4/29,Mark 2,Num 2,2Cor 9,Rev 11,Song 3,Psalm 119,Prov 26,1Kings 15,Lam 1,Acts 7
